,satisfaction_level,average_montly_hours,promotion_last_5years,high,low,medium,0
10630,0.95,151,0,0,0,1,
11251,0.78,247,0,0,0,1,
8575,0.83,197,0,0,0,1,
14784,0.36,148,0,0,0,1,
5514,0.78,193,0,0,0,1,
8065,0.66,256,0,0,0,1,
5368,0.87,217,0,0,0,1,
3357,0.71,180,0,0,0,1,0.0
3458,0.74,216,0,0,0,1,0.0
5199,0.34,283,0,1,0,0,
14162,0.71,222,0,0,0,1,
11328,0.5,178,0,0,0,1,
7826,0.67,148,0,0,0,1,
1752,0.1,264,0,0,0,1,0.0
13549,0.94,213,0,0,1,0,
869,0.38,152,0,0,1,0,0.0
9605,0.55,241,0,0,1,0,
8606,0.91,276,0,0,1,0,
11867,0.56,223,0,0,0,1,
7053,0.59,139,0,0,1,0,
8834,0.98,211,0,0,0,1,
3817,0.28,139,0,0,0,1,0.0
13528,0.96,177,0,0,1,0,
10300,0.72,265,0,1,0,0,
1429,0.87,255,0,0,0,1,0.0
13280,0.14,259,0,0,1,0,
6544,0.79,114,0,1,0,0,
1065,0.43,142,0,0,1,0,0.0
7605,0.96,236,0,0,0,1,
70,0.74,277,0,0,0,1,0.0
12703,0.44,159,0,0,1,0,
7990,0.6,182,0,0,0,1,
10008,0.96,150,0,0,0,1,
9438,0.65,233,0,0,1,0,
3918,0.38,187,0,0,0,1,0.0
4028,0.78,255,0,0,1,0,0.0
8015,0.83,242,0,0,1,0,
3690,0.77,201,0,0,0,1,0.0
6413,0.7,224,0,0,0,1,
9047,0.77,273,0,0,0,1,
1022,0.36,145,0,0,1,0,0.0
10981,0.75,259,0,0,1,0,
12086,0.17,232,0,0,1,0,
12020,0.11,282,0,0,1,0,
5206,0.89,265,0,0,0,1,
1109,0.73,249,0,0,1,0,1.0
6659,0.98,254,0,0,1,0,
1825,0.82,276,0,0,0,1,0.0
8735,0.85,242,0,0,0,1,
13732,0.77,236,0,0,0,1,
7963,0.21,219,0,0,0,1,
9755,0.67,222,0,0,1,0,
8790,0.67,194,0,0,1,0,
8616,0.99,104,0,0,0,1,
3079,0.82,244,0,0,0,1,0.0
4938,0.9,274,0,0,0,1,
14600,0.42,154,0,0,0,1,
14591,0.44,156,0,0,0,1,
3528,0.48,157,0,0,0,1,0.0
3639,0.71,255,0,0,0,1,0.0
3108,0.6,195,0,0,0,1,0.0
4752,0.56,247,0,0,0,1,
1908,0.83,237,0,0,0,1,0.0
11522,0.5,266,0,0,0,1,
13197,0.89,190,0,0,1,0,
4131,0.95,154,0,1,0,0,0.0
10692,0.71,138,0,0,0,1,
9588,0.82,256,0,0,0,1,
1318,0.11,267,0,0,0,1,0.0
7508,0.76,193,0,0,1,0,
14319,0.71,177,0,0,0,1,
13855,0.9,158,0,0,0,1,
10267,0.93,135,0,1,0,0,
4555,1.0,168,1,0,1,0,
5039,0.56,164,1,0,0,1,
14238,0.4,135,0,0,1,0,
595,0.09,263,0,0,1,0,0.0
14390,0.11,308,0,0,0,1,
5681,0.61,151,0,0,0,1,
14509,0.45,136,0,0,0,1,
5749,0.49,226,0,0,0,1,
5644,0.97,195,0,0,1,0,
4529,0.52,244,0,0,1,0,
6207,0.63,210,0,0,0,1,
14347,0.1,283,0,0,1,0,
476,0.11,271,0,0,1,0,0.0
2339,0.14,173,0,0,0,1,0.0
2160,0.46,159,0,0,1,0,0.0
6215,0.55,144,0,0,0,1,
10405,0.22,212,0,0,0,1,
3567,0.53,161,0,0,0,1,0.0
4757,0.85,179,0,0,1,0,
3430,0.74,253,0,0,0,1,0.0
4098,0.69,227,0,0,0,1,0.0
11435,0.54,173,0,0,0,1,
9874,0.52,266,0,0,1,0,
2488,0.6,274,0,0,0,1,0.0
5076,0.59,222,0,0,1,0,
7421,0.97,216,0,1,0,0,
9534,0.96,217,0,0,1,0,
10606,0.87,162,0,0,1,0,
14667,0.86,223,0,0,0,1,
2008,0.5,127,0,0,1,0,0.0
14467,0.11,266,0,0,0,1,
6227,0.76,183,0,0,1,0,
463,0.8,273,0,0,1,0,0.0
12462,0.8,255,0,1,0,0,
13238,0.57,214,0,0,1,0,
4072,0.96,252,0,0,0,1,0.0
8085,0.33,98,0,0,1,0,
6036,0.97,157,0,0,1,0,
1156,0.4,156,0,0,0,1,0.0
9193,0.66,136,0,0,1,0,
5874,0.36,218,0,0,1,0,
959,0.1,281,0,0,0,1,0.0
3824,0.68,215,0,1,0,0,1.0
9933,0.18,209,0,0,0,1,
300,0.45,151,0,0,0,1,0.0
3161,1.0,174,0,0,1,0,0.0
39,0.41,152,0,0,1,0,0.0
14887,0.46,147,0,0,1,0,
11203,0.48,162,0,1,0,0,
13789,0.76,222,0,1,0,0,
9992,0.37,185,0,0,1,0,
4195,0.73,133,0,0,0,1,1.0
5008,0.51,211,0,0,0,1,
7162,0.99,191,0,0,1,0,
3809,0.49,247,0,0,0,1,0.0
7365,0.84,206,0,0,0,1,
10168,0.89,176,0,1,0,0,
2636,0.81,108,0,0,0,1,0.0
12008,0.89,224,0,0,1,0,
9450,0.67,178,0,0,1,0,
8109,0.53,249,0,0,0,1,
2059,0.68,251,0,0,0,1,0.0
429,0.41,127,0,0,1,0,0.0
9839,0.37,101,0,0,1,0,
5788,0.16,213,0,0,0,1,
14936,0.76,217,0,0,0,1,
9988,0.89,269,0,0,1,0,
1926,0.78,164,0,0,1,0,0.0
9322,0.7,212,0,0,1,0,
1655,0.09,256,0,0,1,0,0.0
12272,0.81,270,0,0,0,1,
8386,0.48,141,0,0,1,0,
5530,0.7,198,1,0,1,0,
6353,0.88,139,0,0,1,0,
9341,0.57,231,0,0,1,0,
13502,0.62,251,0,0,0,1,
10441,0.21,144,0,0,1,0,
6825,0.53,199,0,0,0,1,
4121,0.19,126,0,0,0,1,0.0
4658,0.68,135,0,0,0,1,
9315,0.91,172,0,1,0,0,
631,0.34,141,0,0,1,0,0.0
3481,0.66,179,0,0,1,0,0.0
14462,0.79,254,0,0,1,0,
3895,0.84,172,0,0,0,1,0.0
5816,0.85,267,0,0,1,0,
1952,0.46,145,0,0,1,0,0.0
13295,0.93,233,0,0,0,1,
8854,0.71,249,0,0,0,1,
3314,0.71,142,0,0,0,1,0.0
9012,0.54,174,0,0,1,0,
4277,0.95,193,0,0,0,1,1.0
4725,0.82,160,0,1,0,0,
9472,0.86,173,0,0,1,0,
4281,0.55,136,0,0,0,1,1.0
12451,0.85,248,0,0,0,1,
4493,0.68,203,0,0,1,0,0.0
14328,0.11,251,0,0,1,0,
4140,0.65,164,0,0,1,0,0.0
2817,0.99,223,0,0,1,0,0.0
8305,0.57,200,0,0,0,1,
2003,0.78,247,0,0,1,0,1.0
14252,0.45,158,0,0,1,0,
12117,0.11,251,0,0,1,0,
4985,0.49,233,0,0,1,0,
9619,0.68,243,0,0,0,1,
13033,0.68,229,0,0,0,1,
5820,0.67,214,0,0,0,1,
5787,0.16,140,0,0,0,1,
4036,0.78,175,0,0,0,1,0.0
1296,0.46,148,0,0,1,0,0.0
10083,0.55,184,0,0,0,1,
1307,0.44,135,0,0,1,0,0.0
14973,0.36,143,0,0,0,1,
12784,0.2,236,0,0,1,0,
13429,0.95,261,1,0,0,1,
361,0.76,263,0,0,1,0,0.0
12941,0.74,210,0,0,1,0,
1001,0.11,267,0,0,0,1,0.0
13963,0.78,209,0,0,0,1,
5553,0.85,229,0,0,0,1,
6599,0.99,133,0,0,0,1,
10404,0.54,264,0,0,0,1,
3700,0.58,181,0,1,0,0,1.0
4713,0.69,167,0,0,1,0,
6057,0.63,252,0,0,0,1,
6162,0.81,170,0,0,1,0,
6243,0.29,183,0,0,0,1,
659,0.77,221,0,0,0,1,0.0
8028,0.5,272,0,0,0,1,
10985,0.59,265,0,0,0,1,
9202,0.63,126,0,0,1,0,
196,0.27,278,0,0,1,0,0.0
1229,0.42,148,0,0,1,0,0.0
10619,0.19,102,0,0,0,1,
9034,0.59,247,0,0,0,1,
8768,0.84,152,0,0,0,1,
4692,0.48,113,0,0,0,1,
13498,0.97,135,0,0,0,1,
2452,0.41,194,0,0,1,0,1.0
72,0.45,149,0,1,0,0,0.0
11872,0.97,253,0,0,0,1,
13400,0.48,183,0,0,1,0,
8982,0.47,255,0,0,1,0,
12809,0.52,265,0,0,0,1,
6936,0.63,272,0,0,1,0,
10310,0.9,255,0,0,1,0,
14966,0.83,219,0,0,1,0,
7240,0.2,188,0,0,1,0,
3221,0.63,182,0,0,0,1,0.0
10656,0.62,221,0,0,1,0,
1160,0.36,276,0,0,0,1,0.0
11275,0.56,211,1,0,1,0,
9299,0.64,238,0,0,0,1,
756,0.77,235,0,0,1,0,0.0
10036,0.85,123,0,0,1,0,
7975,0.92,190,0,1,0,0,
6803,0.28,162,0,0,1,0,
6791,0.61,182,0,0,0,1,
13324,0.75,215,0,0,1,0,
4255,0.76,156,0,1,0,0,1.0
4257,0.85,250,0,0,1,0,0.0
6836,0.67,175,0,0,0,1,
547,0.37,141,0,0,1,0,0.0
3750,0.93,233,0,0,1,0,0.0
8946,0.5,246,0,0,1,0,
13356,0.56,154,0,0,1,0,
2616,0.88,139,0,0,1,0,0.0
4166,0.7,157,0,1,0,0,0.0
3512,0.52,214,0,0,1,0,0.0
4015,0.14,253,0,0,1,0,0.0
10329,0.56,161,0,0,0,1,
11051,0.51,198,0,0,0,1,
10991,0.73,121,0,0,1,0,
138,0.74,249,0,0,1,0,0.0
5269,0.86,220,0,0,1,0,
13489,0.66,164,0,0,1,0,
6577,0.24,231,0,0,1,0,
14039,0.42,173,0,0,0,1,
6606,0.63,167,0,0,0,1,
6754,0.89,252,0,0,0,1,
6135,0.68,144,0,0,0,1,
10879,0.73,205,0,0,1,0,
3171,0.38,159,0,0,0,1,0.0
11021,0.56,224,0,0,0,1,
100,0.38,154,0,0,0,1,0.0
12522,0.1,289,0,0,1,0,
3790,0.55,201,0,1,0,0,0.0
5371,0.83,246,0,0,1,0,
10417,0.99,169,0,0,1,0,
7335,0.93,135,0,0,0,1,
11115,0.13,162,0,0,1,0,
3234,0.84,140,0,1,0,0,0.0
4621,0.34,141,0,0,0,1,
10772,0.92,268,0,0,1,0,
4206,0.8,171,0,0,0,1,0.0
10235,0.97,267,0,0,0,1,
13520,0.55,158,0,0,1,0,
2527,0.61,230,0,0,0,1,0.0
153,0.4,155,0,0,1,0,0.0
6734,0.53,231,0,0,1,0,
3825,0.9,214,0,0,1,0,1.0
10890,0.55,233,0,0,1,0,
905,0.76,238,0,0,1,0,0.0
2962,0.99,138,0,0,0,1,0.0
9021,0.45,179,0,0,1,0,
14012,0.9,151,0,0,0,1,
14444,0.42,134,0,0,1,0,
11482,0.87,151,0,0,0,1,
1263,0.36,143,0,0,1,0,0.0
975,0.36,136,0,0,1,0,0.0
4064,0.61,201,0,0,1,0,0.0
8613,0.48,259,0,0,0,1,
13797,0.65,156,0,0,1,0,
7424,0.23,176,0,0,1,0,
13195,0.99,163,0,0,0,1,
11316,0.66,174,0,0,1,0,
7952,0.41,121,0,0,0,1,
6642,0.51,239,0,1,0,0,
13253,0.97,208,0,0,1,0,
6860,0.13,253,0,0,1,0,
4033,0.94,215,0,0,0,1,0.0
3224,0.48,162,0,0,0,1,1.0
6525,0.75,272,0,1,0,0,
8968,0.69,216,0,0,1,0,
13041,0.59,200,0,0,0,1,
11735,0.89,232,0,0,1,0,
181,0.1,261,0,0,0,1,0.0
12454,0.09,254,0,0,0,1,
3040,0.57,243,0,0,0,1,0.0
6253,0.51,168,0,0,0,1,
8285,0.68,146,0,0,0,1,
3744,0.89,257,0,0,0,1,0.0
3427,0.73,184,0,0,1,0,0.0
11830,0.63,230,0,0,0,1,
14041,0.63,230,0,0,0,1,
14471,0.46,154,0,0,0,1,
4273,0.56,274,0,0,0,1,0.0
5385,0.62,165,0,0,1,0,
14771,0.09,279,0,0,1,0,
5532,0.58,157,1,0,1,0,
14345,0.36,132,0,0,1,0,
14344,0.44,138,0,0,1,0,
5538,0.99,221,0,0,1,0,
3474,0.72,270,0,0,1,0,0.0
3213,0.98,232,0,0,1,0,0.0
593,0.37,132,0,0,1,0,1.0
6418,0.98,255,0,0,1,0,
14021,0.73,184,0,0,1,0,
7062,0.88,138,0,0,0,1,
8508,0.75,206,0,0,1,0,
12617,0.83,251,0,0,0,1,
13757,0.24,281,0,0,0,1,
5292,1.0,210,0,0,1,0,
13091,0.65,240,0,0,1,0,
1392,0.39,157,0,0,0,1,0.0
1155,0.11,301,0,0,0,1,1.0
14141,0.97,137,0,0,1,0,
6575,0.77,207,0,0,1,0,
1168,0.79,245,0,0,0,1,0.0
11346,0.98,153,0,1,0,0,
12197,0.1,287,0,0,1,0,
1402,0.84,240,0,0,0,1,0.0
5776,0.59,233,0,0,1,0,
3329,0.91,174,0,0,1,0,0.0
13005,0.66,192,0,0,0,1,
3376,0.81,132,0,0,0,1,0.0
12435,0.41,135,0,0,1,0,
10994,0.61,239,0,0,1,0,
1482,0.09,310,0,0,1,0,0.0
2200,0.89,272,0,0,1,0,0.0
13673,0.81,176,1,0,1,0,
8333,0.7,167,0,0,1,0,
1216,0.44,127,0,0,1,0,0.0
5060,0.94,257,1,0,0,1,
6722,0.63,260,0,0,0,1,
1111,0.44,149,0,0,1,0,0.0
8396,0.55,215,0,0,0,1,
6737,0.83,242,0,0,1,0,
4560,0.75,184,0,0,1,0,
6813,0.17,286,0,0,1,0,
730,0.43,128,0,0,0,1,0.0
14601,0.78,253,0,0,1,0,
14871,0.44,130,0,0,0,1,
9682,0.22,244,0,0,0,1,
2012,0.48,255,0,0,0,1,0.0
13584,0.42,227,0,0,0,1,
469,0.41,159,0,0,1,0,0.0
3249,0.19,156,0,0,0,1,0.0
1659,0.77,276,0,0,0,1,0.0
13474,0.98,170,0,0,0,1,
14567,0.41,154,0,0,1,0,
13225,0.52,188,0,0,0,1,
9295,0.78,97,0,0,0,1,
10546,0.13,283,0,0,0,1,
14089,0.68,238,0,0,0,1,
11953,0.48,143,0,0,0,1,
6032,0.65,168,0,0,1,0,
12352,0.91,262,0,0,1,0,
3511,0.72,143,0,0,1,0,0.0
8330,0.51,166,0,0,1,0,
714,0.4,144,0,0,1,0,0.0
10634,0.56,230,0,1,0,0,
12881,0.58,167,0,0,0,1,
8950,0.53,159,0,0,1,0,
608,0.45,134,0,0,0,1,0.0
3970,0.94,148,0,0,1,0,0.0
10401,0.99,175,0,1,0,0,
6795,0.58,180,0,1,0,0,
12640,0.37,128,0,0,1,0,
5908,0.35,109,0,0,0,1,
2217,0.56,163,0,1,0,0,0.0
11674,0.95,199,0,0,0,1,
290,0.4,128,0,0,1,0,0.0
2991,0.9,156,0,0,0,1,0.0
5829,0.74,105,0,1,0,0,
6824,0.49,238,0,0,0,1,
1844,0.37,154,0,0,1,0,0.0
10519,0.65,228,0,0,0,1,
554,0.43,150,0,0,1,0,0.0
7528,0.24,269,0,0,0,1,
4714,0.79,104,0,0,1,0,
13730,0.45,169,0,0,0,1,
443,0.81,245,0,0,1,0,0.0
4942,0.28,124,0,0,1,0,
7390,0.95,238,0,0,1,0,
14645,0.1,309,0,0,1,0,
7069,0.73,181,0,0,1,0,
13414,0.48,162,0,1,0,0,
3429,0.53,109,0,0,0,1,1.0
8875,0.92,145,0,1,0,0,
2994,0.64,152,0,0,0,1,0.0
8739,0.69,137,0,0,1,0,
1295,0.38,139,0,0,1,0,0.0
11184,0.84,135,1,0,0,1,
3540,0.87,176,0,1,0,0,0.0
6501,0.38,176,0,0,1,0,
3819,0.62,230,0,0,0,1,0.0
8701,0.78,174,0,0,1,0,
5589,0.31,262,0,0,0,1,
5092,0.97,175,0,1,0,0,
13076,0.96,132,0,0,0,1,
10123,0.81,222,0,0,0,1,
4895,0.68,261,0,0,0,1,
10409,0.4,135,0,0,1,0,
5417,0.83,130,0,0,1,0,
362,0.41,145,0,0,1,0,0.0
6268,0.96,237,0,0,1,0,
7931,0.42,191,0,0,0,1,
5833,0.53,201,0,0,0,1,
11577,0.55,261,0,1,0,0,
7249,0.46,261,0,0,0,1,
6026,0.49,129,0,1,0,0,
13646,0.54,173,0,0,0,1,
6055,0.35,171,0,0,0,1,
12731,0.79,232,0,0,0,1,
7692,0.36,252,0,0,0,1,
8852,0.99,190,0,0,0,1,
9224,0.49,246,0,0,0,1,
8495,0.95,255,0,0,0,1,
8357,0.94,169,0,0,1,0,
899,0.84,238,0,0,1,0,0.0
2399,0.61,199,0,0,1,0,0.0
8672,0.77,170,0,0,1,0,
2312,0.51,267,0,0,1,0,0.0
6634,0.91,153,0,0,0,1,
7618,0.85,250,0,0,1,0,
2517,0.55,184,0,0,0,1,0.0
2300,0.51,106,0,0,0,1,0.0
3211,0.58,175,0,0,1,0,0.0
48,0.4,148,0,0,1,0,0.0
1531,0.36,144,0,0,1,0,0.0
9111,0.7,224,0,0,0,1,
8358,0.49,227,0,0,1,0,
14087,0.4,173,0,0,0,1,
3783,0.85,233,0,0,1,0,0.0
8250,0.72,162,0,0,1,0,
10744,0.15,191,0,0,0,1,
10581,0.75,217,0,0,0,1,
3537,0.93,205,0,0,0,1,0.0
9645,0.55,99,0,0,1,0,
4661,0.59,235,0,0,0,1,
11995,0.9,259,1,1,0,0,
4,0.37,159,0,0,1,0,0.0
13024,0.76,265,0,0,1,0,
6306,1.0,168,0,0,1,0,
7788,0.69,257,0,0,1,0,
13640,0.78,157,0,0,1,0,
7625,0.35,130,0,0,1,0,
968,0.42,130,0,0,0,1,0.0
127,0.7,183,0,0,1,0,0.0
14049,0.43,149,0,0,0,1,
3832,0.69,226,0,1,0,0,1.0
2855,0.86,155,0,0,1,0,0.0
11162,0.78,137,0,0,0,1,
2615,0.72,270,0,0,1,0,0.0
9703,0.47,113,0,1,0,0,
1079,0.86,269,0,0,0,1,0.0
1690,0.45,212,0,0,1,0,0.0
11006,0.8,248,0,0,1,0,
9066,0.66,144,0,0,1,0,
2904,0.69,142,0,0,1,0,0.0
5598,0.81,272,0,0,0,1,
14199,0.49,104,0,1,0,0,
61,0.11,308,0,0,0,1,0.0
10891,0.8,178,0,0,1,0,
1766,0.44,141,0,0,1,0,0.0
11600,0.95,151,0,0,0,1,
8113,0.75,229,0,0,0,1,
11853,0.71,204,0,0,1,0,
1011,0.43,149,0,0,0,1,0.0
14416,0.38,153,0,0,1,0,
5442,0.16,257,0,0,0,1,
850,0.37,151,0,0,0,1,0.0
7596,0.84,179,0,0,1,0,
13488,0.57,237,0,0,1,0,
2552,0.3,278,0,0,1,0,0.0
6157,0.53,257,0,1,0,0,
10459,0.49,213,0,0,1,0,
9132,0.91,180,0,0,1,0,
4814,0.94,236,0,0,0,1,
7760,0.88,162,0,0,0,1,
4109,0.84,269,0,0,0,1,1.0
11176,0.65,229,0,0,1,0,
2464,0.78,142,0,0,1,0,1.0
483,0.42,143,0,0,1,0,0.0
4216,0.25,269,0,0,1,0,0.0
10242,0.51,271,0,0,0,1,
5114,0.74,150,0,0,0,1,
4076,0.8,252,0,0,0,1,0.0
14299,0.37,130,0,0,1,0,
2640,0.69,178,0,0,0,1,0.0
2331,0.82,271,0,0,0,1,0.0
6852,0.53,271,0,0,1,0,
6148,0.52,112,0,0,0,1,
5870,0.32,136,0,0,0,1,
2351,0.81,263,0,0,1,0,1.0
9867,0.54,211,0,0,0,1,
7987,0.34,237,0,1,0,0,
13182,0.8,263,0,0,0,1,
515,0.88,219,0,0,1,0,0.0
13379,0.17,191,0,0,0,1,
4514,0.77,219,0,0,0,1,
5948,0.74,142,0,0,0,1,
27,0.4,135,0,0,1,0,0.0
13808,0.99,151,0,0,0,1,
15,0.38,143,0,0,1,0,0.0
4867,0.67,153,0,0,1,0,
14138,0.58,197,0,0,1,0,
9311,0.77,159,0,0,0,1,
11771,0.65,125,0,0,1,0,
5628,0.89,166,0,1,0,0,
2692,0.68,157,0,0,1,0,0.0
5312,0.8,240,0,0,1,0,
8777,0.58,224,0,1,0,0,
5865,0.17,246,0,1,0,0,
7659,0.58,187,0,0,1,0,
7252,0.68,147,0,0,0,1,
3024,0.41,171,0,0,0,1,0.0
6031,0.23,156,0,0,1,0,
8398,0.58,150,0,0,1,0,
5877,0.69,183,0,0,1,0,
3325,0.52,247,0,1,0,0,0.0
4960,0.5,180,0,0,1,0,
12398,0.87,265,0,0,1,0,
13016,0.44,219,0,0,1,0,
7144,0.95,258,0,0,0,1,
11376,0.95,183,0,0,1,0,
7705,0.44,147,0,0,1,0,
8074,0.26,161,0,0,0,1,
14582,0.36,135,0,0,1,0,
14355,0.84,267,0,0,1,0,
9213,0.74,193,0,0,0,1,
13078,0.8,173,0,0,1,0,
3768,0.54,232,0,1,0,0,0.0
3187,0.56,115,0,0,0,1,0.0
5348,0.92,201,0,0,1,0,
14986,0.85,247,0,0,1,0,
5412,0.91,163,0,0,1,0,
10828,0.62,134,0,0,1,0,
2276,0.79,240,0,0,1,0,0.0
4103,0.31,259,0,0,0,1,0.0
1181,0.39,127,0,0,1,0,0.0
2701,0.59,106,0,0,1,0,0.0
4516,0.89,165,0,0,1,0,
10272,0.5,178,0,0,0,1,
2298,0.6,137,0,0,0,1,0.0
3765,0.94,251,0,0,0,1,1.0
3714,0.72,160,0,0,0,1,1.0
4080,0.51,267,0,0,0,1,0.0
12822,0.52,170,0,0,0,1,
12356,0.41,154,0,0,1,0,
12590,0.38,148,0,0,1,0,
939,0.39,135,0,0,1,0,0.0
11098,0.69,252,0,0,0,1,
6063,0.99,190,0,0,0,1,
518,0.44,151,0,0,1,0,0.0
7341,0.95,155,0,0,0,1,
1939,0.1,310,0,0,0,1,1.0
2404,0.16,192,0,0,0,1,0.0
14321,0.43,144,0,0,0,1,
10383,0.93,143,0,0,1,0,
10439,0.23,228,0,0,0,1,
2856,0.82,232,0,0,1,0,0.0
6283,0.92,236,0,0,0,1,
8846,0.48,160,0,0,0,1,
13270,0.68,174,0,0,1,0,
7269,0.97,223,0,0,1,0,
732,0.85,226,0,0,0,1,0.0
11446,0.31,132,0,0,1,0,
5262,0.68,207,0,0,1,0,
13149,0.85,222,1,0,0,1,
8699,0.65,240,0,0,0,1,
11433,0.75,250,0,0,0,1,
7167,0.71,218,0,0,1,0,
5284,0.98,180,0,0,0,1,
13245,0.83,149,0,0,1,0,
2424,0.55,252,0,0,1,0,0.0
9683,0.56,157,0,0,0,1,
11103,0.77,164,0,1,0,0,
2025,0.84,246,0,0,0,1,0.0
6773,0.65,190,0,0,1,0,
368,0.82,243,0,0,1,0,0.0
12493,0.1,309,0,0,0,1,
9762,0.48,245,0,0,0,1,
8509,0.6,192,0,0,1,0,
7831,0.44,199,0,0,0,1,
9140,0.65,268,0,0,1,0,
13070,0.73,228,1,0,0,1,
2619,0.88,224,0,0,1,0,0.0
1703,0.73,206,0,0,0,1,0.0
160,0.1,301,0,0,1,0,0.0
2238,0.7,163,0,0,1,0,0.0
3647,0.95,235,0,0,0,1,0.0
10249,0.7,194,0,0,0,1,
8745,0.52,134,0,0,1,0,
13849,0.91,135,0,0,0,1,
7029,0.22,237,0,1,0,0,
10609,0.75,211,0,0,0,1,
1426,0.36,138,0,0,0,1,0.0
11005,0.19,280,0,0,1,0,
7504,0.52,239,0,0,1,0,
13444,0.7,142,0,0,1,0,
11034,0.83,149,0,0,1,0,
1892,0.44,141,0,0,1,0,0.0
13828,0.72,211,0,0,0,1,
7148,0.33,186,0,0,0,1,
10373,0.84,275,0,0,1,0,
8725,0.24,217,0,0,0,1,
4399,0.72,184,0,0,0,1,0.0
7834,0.58,274,0,0,0,1,
7063,0.8,182,0,0,0,1,
10144,0.81,236,0,0,0,1,
641,0.74,228,0,0,1,0,0.0
7739,0.61,191,0,0,1,0,
9548,0.61,165,0,0,0,1,
13103,0.64,165,0,0,1,0,
